pr_number,comment_type,author,sentiment_numeric,sentiment_label,sentiment_score,created_at
1528,issue,justinlinw,4,4 stars,0.2836538255214691,2024-05-17 14:18:23+00:00
1528,review_body,usama-openai,4,4 stars,0.39888954162597656,
1528,review_body,usama-openai,5,5 stars,0.5532419085502625,
1517,review_body,JunShern,5,5 stars,0.7027574777603149,
1516,review_body,JunShern,5,5 stars,0.6382847428321838,
1514,review_body,etr2460,4,4 stars,0.2797331213951111,
1512,review_body,JunShern,1,1 star,0.46995723247528076,
1506,review_body,JunShern,5,5 stars,0.9153938889503479,
1503,review_body,JunShern,1,1 star,0.35349881649017334,
1502,review_body,JunShern,5,5 stars,0.7295838594436646,
1501,review_body,JunShern,5,5 stars,0.7114080786705017,
1500,review_body,JunShern,5,5 stars,0.8371434807777405,
1499,review_body,JunShern,5,5 stars,0.6367491483688354,
1498,review_body,JunShern,5,5 stars,0.7531431913375854,
1497,review_body,JunShern,5,5 stars,0.8374307751655579,
1496,review_body,JunShern,5,5 stars,0.8233456611633301,
1492,review_body,JunShern,5,5 stars,0.8333521485328674,
1491,issue,JunShern,1,1 star,0.33030587434768677,2024-03-19 03:45:37+00:00
1491,review_body,JunShern,5,5 stars,0.586706280708313,
1490,review,JunShern,1,1 star,0.5869715213775635,2024-03-19 03:55:38+00:00
1490,review_body,JunShern,5,5 stars,0.6884925365447998,
1489,review,JunShern,1,1 star,0.5869715213775635,2024-03-19 03:51:30+00:00
1489,review,JunShern,2,2 stars,0.32067281007766724,2024-03-19 03:54:19+00:00
1489,review,thesofakillers,4,4 stars,0.40979331731796265,2024-03-19 09:39:18+00:00
1489,review,JunShern,2,2 stars,0.4707522988319397,2024-03-19 14:06:57+00:00
1489,review_body,JunShern,4,4 stars,0.6294617056846619,
1488,review,JunShern,1,1 star,0.6229186058044434,2024-03-19 03:22:18+00:00
1488,review,JunShern,3,3 stars,0.29753315448760986,2024-03-19 03:24:07+00:00
1488,review,JunShern,1,1 star,0.2847602963447571,2024-03-19 03:24:36+00:00
1488,review,JunShern,2,2 stars,0.3662092089653015,2024-03-19 03:25:33+00:00
1488,review,JunShern,3,3 stars,0.3069188594818115,2024-03-19 03:26:30+00:00
1488,review,thesofakillers,2,2 stars,0.31917959451675415,2024-03-19 09:45:08+00:00
1488,review,thesofakillers,1,1 star,0.7152484059333801,2024-03-19 09:47:43+00:00
1488,review,thesofakillers,3,3 stars,0.39710405468940735,2024-03-19 09:51:15+00:00
1488,review,JunShern,5,5 stars,0.40241414308547974,2024-03-19 14:19:00+00:00
1488,review,JunShern,5,5 stars,0.4259139895439148,2024-03-19 14:19:37+00:00
1488,review_body,JunShern,5,5 stars,0.6286923885345459,
1487,review_body,JunShern,5,5 stars,0.8336716890335083,
1486,review_body,JunShern,5,5 stars,0.7661000490188599,
1485,review_body,JunShern,5,5 stars,0.6616691946983337,
1483,review_body,JunShern,5,5 stars,0.6917877197265625,
1482,review_body,etr2460,5,5 stars,0.6322023272514343,
1481,review_body,JunShern,5,5 stars,0.6831174492835999,
1468,issue,johny-b,3,3 stars,0.4697161316871643,2024-02-20 00:06:20+00:00
1468,review_body,etr2460,3,3 stars,0.4511653780937195,
1464,issue,logankilpatrick,5,5 stars,0.6224316358566284,2024-02-13 14:28:17+00:00
1461,review_body,etr2460,5,5 stars,0.7038114070892334,
1460,review_body,JunShern,4,4 stars,0.37481173872947693,
1453,review_body,JunShern,5,5 stars,0.7114952206611633,
