pr_number,title,created_at,merged_at,title_sentiment_numeric,title_sentiment_label,title_sentiment_score,body_sentiment_numeric,body_sentiment_label,body_sentiment_score,comments_sentiment_avg,total_comments,date
1347,Dynamic Argument Integration for Registered Completion Functions,2023-09-11 23:40:46+00:00,2023-09-18 23:41:53+00:00,4,4 stars,0.45162492990493774,4.0,4 stars,0.352524071931839,5.0,1,2023-09-18 23:41:53+00:00
1353,add Schelling Point eval,2023-09-18 18:44:45+00:00,2023-09-19 00:33:11+00:00,3,3 stars,0.28419560194015503,1.0,1 star,0.4956881105899811,,0,2023-09-19 00:33:11+00:00
1357,Add 3rd party dataset licenses,2023-09-18 18:56:43+00:00,2023-09-19 00:39:05+00:00,5,5 stars,0.3523930311203003,4.0,4 stars,0.34556788206100464,,0,2023-09-19 00:39:05+00:00
1343,add gujarati numerals eval,2023-08-30 03:23:09+00:00,2023-09-19 01:47:46+00:00,4,4 stars,0.26299160718917847,1.0,1 star,0.4956881105899811,5.0,2,2023-09-19 01:47:46+00:00
1345,[Eval] Add eval for fixing word spacing for Korean sentences,2023-09-04 20:53:01+00:00,2023-09-19 01:48:53+00:00,4,4 stars,0.41799357533454895,1.0,1 star,0.4956881105899811,5.0,1,2023-09-19 01:48:53+00:00
1351,add MakeMeSay eval,2023-09-18 18:24:54+00:00,2023-09-19 04:34:21+00:00,4,4 stars,0.3597972095012665,1.0,1 star,0.4956881105899811,4.0,2,2023-09-19 04:34:21+00:00
1352,add Ballot Proposal eval,2023-09-18 18:32:17+00:00,2023-09-19 04:34:46+00:00,4,4 stars,0.3293333947658539,1.0,1 star,0.4956881105899811,3.0,2,2023-09-19 04:34:46+00:00
1354,Add MakeMePay eval,2023-09-18 18:48:33+00:00,2023-09-19 04:35:11+00:00,4,4 stars,0.3307611346244812,1.0,1 star,0.4956881105899811,1.0,1,2023-09-19 04:35:11+00:00
1355,add Steganography eval,2023-09-18 18:51:22+00:00,2023-09-19 04:35:39+00:00,4,4 stars,0.3236599266529083,1.0,1 star,0.4956881105899811,2.5,2,2023-09-19 04:35:39+00:00
1356,Add text compression eval,2023-09-18 18:53:39+00:00,2023-09-19 04:36:07+00:00,4,4 stars,0.3811238706111908,1.0,1 star,0.4956881105899811,2.0,2,2023-09-19 04:36:07+00:00
1358,Add README for schelling point,2023-09-19 03:35:51+00:00,2023-09-19 04:36:21+00:00,4,4 stars,0.44185522198677063,5.0,5 stars,0.47996535897254944,,0,2023-09-19 04:36:21+00:00
1360,Minor wording tweaks to makemesay readme,2023-09-19 15:49:01+00:00,2023-09-19 16:51:19+00:00,3,3 stars,0.4325183033943176,,,0.0,,0,2023-09-19 16:51:19+00:00
1359,Minor wording tweaks to schelling point readme,2023-09-19 15:45:50+00:00,2023-09-19 16:51:34+00:00,3,3 stars,0.4075331687927246,3.0,3 stars,0.4075331687927246,,0,2023-09-19 16:51:34+00:00
1361,Amend contribution statement for make_me_say,2023-09-19 16:50:01+00:00,2023-09-19 16:51:58+00:00,3,3 stars,0.255861759185791,,,0.0,,0,2023-09-19 16:51:58+00:00
1364,Remove setuptools_scm dependency,2023-09-25 21:07:04+00:00,2023-09-25 21:15:10+00:00,1,1 star,0.2935177981853485,,,0.0,,0,2023-09-25 21:15:10+00:00
1365,Update README.md to link to W&B UI,2023-09-25 21:28:18+00:00,2023-09-25 23:36:28+00:00,3,3 stars,0.24381445348262787,,,0.0,4.0,1,2023-09-25 23:36:28+00:00
1368,add belarusian antonyms eval,2023-09-28 13:37:43+00:00,2023-10-27 16:52:18+00:00,3,3 stars,0.30262407660484314,1.0,1 star,0.4956881105899811,5.0,1,2023-10-27 16:52:18+00:00
1349,adding eval osm_mapping,2023-09-14 14:03:57+00:00,2023-10-27 16:53:47+00:00,4,4 stars,0.3995252549648285,1.0,1 star,0.4956881105899811,4.333333333333333,3,2023-10-27 16:53:47+00:00
1366,Add A is B and B is A Eval,2023-09-26 04:44:42+00:00,2023-10-27 17:01:13+00:00,3,3 stars,0.30818697810173035,1.0,1 star,0.4956881105899811,4.5,4,2023-10-27 17:01:13+00:00
1387,Added Icelandic inflection eval; JsonMatch eval function,2023-10-23 14:14:09+00:00,2023-10-27 17:29:43+00:00,4,4 stars,0.31151729822158813,1.0,1 star,0.4956881105899811,4.333333333333333,3,2023-10-27 17:29:43+00:00
1397,Add new Solvers framework,2023-11-05 15:05:51+00:00,2023-11-09 18:00:30+00:00,5,5 stars,0.4843181371688843,3.0,3 stars,0.3343355357646942,4.0,1,2023-11-09 18:00:30+00:00
1406,[Evals] Update the errors we except for retries,2023-11-13 17:06:36+00:00,2023-11-13 17:55:49+00:00,3,3 stars,0.2633858025074005,1.0,1 star,0.37472182512283325,,0,2023-11-13 17:55:49+00:00
1401,Self-Prompting eval,2023-11-10 12:18:56+00:00,2023-11-15 02:51:08+00:00,5,5 stars,0.46463635563850403,1.0,1 star,0.4956881105899811,4.0,1,2023-11-15 02:51:08+00:00
1405,Add theory of mind eval,2023-11-10 14:24:08+00:00,2023-11-15 02:51:41+00:00,4,4 stars,0.37287697196006775,1.0,1 star,0.4956881105899811,,0,2023-11-15 02:51:41+00:00
1403,MMP v2 eval,2023-11-10 14:02:46+00:00,2023-11-15 02:56:27+00:00,5,5 stars,0.25279703736305237,1.0,1 star,0.4956881105899811,,0,2023-11-15 02:56:27+00:00
1409,Sandbagging eval,2023-11-14 10:59:10+00:00,2023-11-15 02:56:41+00:00,4,4 stars,0.26941874623298645,1.0,1 star,0.4956881105899811,,0,2023-11-15 02:56:41+00:00
1410,Fix the OpenAI Version to <=0.28.1 ,2023-11-15 02:56:50+00:00,2023-11-15 02:59:56+00:00,5,5 stars,0.3223778307437897,1.0,1 star,0.4956881105899811,,0,2023-11-15 02:59:56+00:00
1402,Bluff eval,2023-11-10 12:35:56+00:00,2023-11-15 15:53:10+00:00,5,5 stars,0.4612824618816376,1.0,1 star,0.4956881105899811,,0,2023-11-15 15:53:10+00:00
1413,Amend contribution statements for Bluff and ToM from PolRes team,2023-11-15 17:02:50+00:00,2023-11-15 17:11:21+00:00,3,3 stars,0.286342591047287,,,0.0,,0,2023-11-15 17:11:21+00:00
1412,Sandbagging readme,2023-11-15 09:31:16+00:00,2023-11-15 17:13:15+00:00,4,4 stars,0.3626725971698761,4.0,4 stars,0.3714422881603241,,0,2023-11-15 17:13:15+00:00
1420,Upgrade openai to >=1.0.0,2023-11-28 23:15:24+00:00,2023-12-05 18:14:08+00:00,5,5 stars,0.3203542232513428,1.0,1 star,0.32270073890686035,3.2857142857142856,7,2023-12-05 18:14:08+00:00
1381,Fix commandline --help exception,2023-10-17 06:27:26+00:00,2023-12-05 21:28:59+00:00,4,4 stars,0.29884615540504456,4.0,4 stars,0.3472397029399872,5.0,2,2023-12-05 21:28:59+00:00
1425,[ci] Fix referencing API key for unit tests,2023-12-08 00:40:11+00:00,2023-12-08 00:44:42+00:00,4,4 stars,0.42270785570144653,1.0,1 star,0.3621843159198761,,0,2023-12-08 00:44:42+00:00
1415,Docs typos,2023-11-16 10:20:12+00:00,2023-12-10 18:07:51+00:00,4,4 stars,0.35355883836746216,4.0,4 stars,0.338900089263916,3.0,1,2023-12-10 18:07:51+00:00
1417,docs: documentation out of date/sync with inlined example code. ,2023-11-17 02:53:19+00:00,2023-12-10 18:10:46+00:00,4,4 stars,0.3031972348690033,1.0,1 star,0.332485556602478,,0,2023-12-10 18:10:46+00:00
1429,Update README.md,2023-12-10 17:44:40+00:00,2023-12-11 17:13:22+00:00,3,3 stars,0.2572745382785797,,,0.0,4.6,5,2023-12-11 17:13:22+00:00
1431,Update CODEOWNERS to new maintainers,2023-12-11 17:11:14+00:00,2023-12-11 19:59:40+00:00,1,1 star,0.23728927969932556,3.0,3 stars,0.24037955701351166,,0,2023-12-11 19:59:40+00:00
1427,Fix bluff for openai >= 1.0.0 and unbreak tests,2023-12-09 01:05:39+00:00,2023-12-11 19:59:50+00:00,5,5 stars,0.48502880334854126,4.0,4 stars,0.32633471488952637,5.0,1,2023-12-11 19:59:50+00:00
1391,Schelling Point v2,2023-10-27 16:19:39+00:00,2023-12-15 02:16:28+00:00,1,1 star,0.23113945126533508,4.0,4 stars,0.32821035385131836,5.0,1,2023-12-15 02:16:28+00:00
