pr_number,comment_type,author,sentiment_numeric,sentiment_label,sentiment_score,created_at
1528,review_body,usama-openai,5,POS,0.986346423625946,
1517,review_body,JunShern,5,POS,0.9766849279403687,
1516,review_body,JunShern,5,POS,0.929833173751831,
1514,review_body,etr2460,3,NEU,0.7894108295440674,
1512,review_body,JunShern,3,NEU,0.8203033208847046,
1506,review_body,JunShern,5,POS,0.9882715344429016,
1503,review_body,JunShern,5,POS,0.9891497492790222,
1502,review_body,JunShern,5,POS,0.9712139368057251,
1501,review_body,JunShern,5,POS,0.991762638092041,
1500,review_body,JunShern,5,POS,0.9920021295547485,
1499,review_body,JunShern,5,POS,0.9882012009620667,
1498,review_body,JunShern,5,POS,0.9868137836456299,
1497,review_body,JunShern,5,POS,0.9925057291984558,
1496,review_body,JunShern,5,POS,0.9921736717224121,
1492,review_body,JunShern,5,POS,0.9916268587112427,
1491,issue,JunShern,1,NEG,0.9604024291038513,2024-03-19 03:45:37+00:00
1491,review_body,JunShern,5,POS,0.9702767133712769,
1490,review,JunShern,1,NEG,0.7532896995544434,2024-03-19 03:55:38+00:00
1490,review_body,JunShern,5,POS,0.9923457503318787,
1489,review,JunShern,1,NEG,0.7532896995544434,2024-03-19 03:51:30+00:00
1489,review,JunShern,3,NEU,0.7733075022697449,2024-03-19 03:54:19+00:00
1489,review,thesofakillers,3,NEU,0.5011711716651917,2024-03-19 09:39:18+00:00
1489,review,JunShern,1,NEG,0.7675667405128479,2024-03-19 14:06:57+00:00
1489,review_body,JunShern,5,POS,0.9920554757118225,
1488,review,JunShern,1,NEG,0.8988878130912781,2024-03-19 03:22:18+00:00
1488,review,JunShern,3,NEU,0.8752329349517822,2024-03-19 03:24:07+00:00
1488,review,JunShern,3,NEU,0.9714266061782837,2024-03-19 03:24:36+00:00
1488,review,JunShern,1,NEG,0.8621901869773865,2024-03-19 03:25:33+00:00
1488,review,JunShern,3,NEU,0.7230545878410339,2024-03-19 03:26:30+00:00
1488,review,thesofakillers,3,NEU,0.9358262419700623,2024-03-19 09:45:08+00:00
1488,review,thesofakillers,1,NEG,0.5715652704238892,2024-03-19 09:47:43+00:00
1488,review,JunShern,5,POS,0.962794303894043,2024-03-19 14:19:00+00:00
1488,review,JunShern,5,POS,0.6998260617256165,2024-03-19 14:19:37+00:00
1488,review_body,JunShern,5,POS,0.9865291118621826,
1487,review_body,JunShern,5,POS,0.9927983283996582,
1486,review_body,JunShern,5,POS,0.9929986000061035,
1485,review_body,JunShern,5,POS,0.9848527312278748,
1483,review_body,JunShern,5,POS,0.867575466632843,
1482,review_body,etr2460,5,POS,0.9400992393493652,
1481,review_body,JunShern,5,POS,0.9677146077156067,
1468,issue,johny-b,3,NEU,0.6950387358665466,2024-02-20 00:06:20+00:00
1468,review_body,etr2460,5,POS,0.9648768901824951,
1464,issue,logankilpatrick,5,POS,0.9729347229003906,2024-02-13 14:28:17+00:00
1461,review_body,etr2460,5,POS,0.9624011516571045,
1460,review_body,JunShern,5,POS,0.9575014710426331,
1453,review_body,JunShern,5,POS,0.957099199295044,
1452,review_body,JunShern,5,POS,0.9854825735092163,
1451,review_body,etr2460,5,POS,0.763760507106781,
1445,review_body,etr2460,5,POS,0.863884687423706,
1444,review_body,katyhshi,5,POS,0.542134165763855,
1442,review_body,logankilpatrick,3,NEU,0.7920225858688354,
1439,review_body,etr2460,3,NEU,0.7305877208709717,
1438,review,etr2460,3,NEU,0.8359514474868774,2023-12-20 23:03:16+00:00
