pr_number,title,created_at,merged_at,title_sentiment_numeric,title_sentiment_label,title_sentiment_score,body_sentiment_numeric,body_sentiment_label,body_sentiment_score,comments_sentiment_avg,total_comments,date
1347,Dynamic Argument Integration for Registered Completion Functions,2023-09-11 23:40:46+00:00,2023-09-18 23:41:53+00:00,3,Neutral,0.40160632133483887,3.0,Neutral,0.522735595703125,3.0,1,2023-09-18 23:41:53+00:00
1353,add Schelling Point eval,2023-09-18 18:44:45+00:00,2023-09-19 00:33:11+00:00,3,Negative,0.30543214082717896,3.0,Very Negative,0.4732622802257538,,0,2023-09-19 00:33:11+00:00
1357,Add 3rd party dataset licenses,2023-09-18 18:56:43+00:00,2023-09-19 00:39:05+00:00,3,Neutral,0.366303414106369,3.0,Negative,0.3269902169704437,,0,2023-09-19 00:39:05+00:00
1343,add gujarati numerals eval,2023-08-30 03:23:09+00:00,2023-09-19 01:47:46+00:00,3,Negative,0.30871573090553284,3.0,Very Negative,0.4732622802257538,3.0,2,2023-09-19 01:47:46+00:00
1345,[Eval] Add eval for fixing word spacing for Korean sentences,2023-09-04 20:53:01+00:00,2023-09-19 01:48:53+00:00,3,Very Positive,0.3550712466239929,3.0,Very Negative,0.4732622802257538,3.0,1,2023-09-19 01:48:53+00:00
1351,add MakeMeSay eval,2023-09-18 18:24:54+00:00,2023-09-19 04:34:21+00:00,3,Positive,0.29108405113220215,3.0,Very Negative,0.4732622802257538,3.0,2,2023-09-19 04:34:21+00:00
1352,add Ballot Proposal eval,2023-09-18 18:32:17+00:00,2023-09-19 04:34:46+00:00,3,Neutral,0.3214796185493469,3.0,Very Negative,0.4732622802257538,3.0,2,2023-09-19 04:34:46+00:00
1354,Add MakeMePay eval,2023-09-18 18:48:33+00:00,2023-09-19 04:35:11+00:00,3,Very Negative,0.3693333566188812,3.0,Very Negative,0.4732622802257538,3.0,1,2023-09-19 04:35:11+00:00
1355,add Steganography eval,2023-09-18 18:51:22+00:00,2023-09-19 04:35:39+00:00,3,Neutral,0.34973710775375366,3.0,Very Negative,0.4732622802257538,3.0,2,2023-09-19 04:35:39+00:00
1356,Add text compression eval,2023-09-18 18:53:39+00:00,2023-09-19 04:36:07+00:00,3,Neutral,0.3484571576118469,3.0,Very Negative,0.4732622802257538,3.0,2,2023-09-19 04:36:07+00:00
1358,Add README for schelling point,2023-09-19 03:35:51+00:00,2023-09-19 04:36:21+00:00,3,Neutral,0.3365146815776825,3.0,Neutral,0.3853139579296112,,0,2023-09-19 04:36:21+00:00
1360,Minor wording tweaks to makemesay readme,2023-09-19 15:49:01+00:00,2023-09-19 16:51:19+00:00,3,Negative,0.5386226773262024,,,0.0,,0,2023-09-19 16:51:19+00:00
1359,Minor wording tweaks to schelling point readme,2023-09-19 15:45:50+00:00,2023-09-19 16:51:34+00:00,3,Negative,0.44136157631874084,3.0,Negative,0.44136157631874084,,0,2023-09-19 16:51:34+00:00
1361,Amend contribution statement for make_me_say,2023-09-19 16:50:01+00:00,2023-09-19 16:51:58+00:00,3,Neutral,0.45963555574417114,,,0.0,,0,2023-09-19 16:51:58+00:00
1364,Remove setuptools_scm dependency,2023-09-25 21:07:04+00:00,2023-09-25 21:15:10+00:00,3,Neutral,0.4251258075237274,,,0.0,,0,2023-09-25 21:15:10+00:00
1365,Update README.md to link to W&B UI,2023-09-25 21:28:18+00:00,2023-09-25 23:36:28+00:00,3,Neutral,0.42973247170448303,,,0.0,3.0,1,2023-09-25 23:36:28+00:00
1368,add belarusian antonyms eval,2023-09-28 13:37:43+00:00,2023-10-27 16:52:18+00:00,3,Neutral,0.2669426500797272,3.0,Very Negative,0.4732622802257538,3.0,1,2023-10-27 16:52:18+00:00
1349,adding eval osm_mapping,2023-09-14 14:03:57+00:00,2023-10-27 16:53:47+00:00,3,Neutral,0.3689206540584564,3.0,Very Negative,0.4732622802257538,3.0,3,2023-10-27 16:53:47+00:00
1366,Add A is B and B is A Eval,2023-09-26 04:44:42+00:00,2023-10-27 17:01:13+00:00,3,Neutral,0.7319110035896301,3.0,Very Negative,0.4732622802257538,3.0,4,2023-10-27 17:01:13+00:00
1387,Added Icelandic inflection eval; JsonMatch eval function,2023-10-23 14:14:09+00:00,2023-10-27 17:29:43+00:00,3,Very Negative,0.3725535273551941,3.0,Very Negative,0.4732622802257538,3.0,3,2023-10-27 17:29:43+00:00
1397,Add new Solvers framework,2023-11-05 15:05:51+00:00,2023-11-09 18:00:30+00:00,3,Positive,0.4214397966861725,3.0,Neutral,0.5002199411392212,3.0,1,2023-11-09 18:00:30+00:00
